stage,name,shape,dtype,min,max,mean,std,nodata_ratio
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",int16,-27198.0,26019.0,3711.539888851772,5963.984520808754,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(153, 236, 337, 1)",float64,0.019999997690320015,0.671544075012207,0.26984193352248376,0.1445627821435836,0.5859653975758186
after_align,era5,"(153, 236, 337, 3)",float64,0.0,1.0,0.360231538201544,0.44416517894206947,0.5859653975758186
after_align,et,"(153, 236, 337, 1)",float64,0.0,1.0,0.38077668772461865,0.14559659069769532,0.5859653975758186
after_align,lst,"(153, 236, 337, 1)",float64,0.0,1.0,0.9984806477837476,0.005553718361488882,0.5884158437973255
after_align,precip,"(153, 236, 337, 1)",float64,0.0,1.0,0.022763476442749134,0.06490727762447839,0.5859653975758186
after_align,runoff,"(153, 236, 337, 2)",float64,0.0,1.0,0.2411497927463314,0.16157003741530052,0.5859653975758186
after_align,vi,"(153, 236, 337, 2)",float64,0.0,1.0,0.6425276897882255,0.1454553551170524,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
after_align,landuse,"(236, 337, 1)",int32,0.0,15.0,8.330085224669334,3.5532556072508803,0.5883795201931298
after_align,smap,"(61, 236, 337, 1)",float64,0.019999999552965164,0.6372995376586914,0.27426108155355367,0.14956095623845145,0.5859653975758186
after_align,era5,"(61, 236, 337, 3)",float64,0.0,1.0,0.34383525898100575,0.438767798830896,0.5859653975758186
after_align,et,"(61, 236, 337, 1)",float64,0.0,1.0,0.26190745657175823,0.1481243450927902,0.5859653975758186
after_align,lst,"(61, 236, 337, 1)",float64,0.0,1.0,0.9982898972502379,0.006339144306872559,0.5884201265930282
after_align,precip,"(61, 236, 337, 1)",float64,0.0,1.0,0.026469313288715327,0.09454041960981,0.5859653975758186
after_align,runoff,"(61, 236, 337, 2)",float64,0.0,1.0,0.18271934136030057,0.16943992775344588,0.5859653975758186
after_align,vi,"(61, 236, 337, 2)",float64,0.0,1.0,0.632859544647767,0.14330793134831218,0.5859653975758186
after_align,dem,"(236, 337, 1)",float32,-5.0,3.0,0.07151750475168228,0.6904197335243225,0.5859653975758186
